userid,foodid,rating
17,89053,10.0
17,89054,10.0
17,89055,10.0
17,89056,10.0
17,89060,10.0
17,89061,10.0
17,89062,10.0
17,89064,8.0
17,89065,9.0
17,89066,9.0
17,89067,10.0
17,89068,10.0
17,89069,10.0
17,89070,10.0
17,89071,8.0
17,89073,8.0
17,89074,10.0
17,89075,8.0
17,89076,10.0
17,89077,10.0
17,89079,8.0
